Course_Code,Credits,Grade,Semester
ENG102,3,B+,Spring 2023
SOC101,3,A-,Spring 2023
HIS101,3,B,Spring 2023
ENG103,3,B,Summer 2023
MAT112,3,C+,Summer 2023
PHI101,3,A,Summer 2023
ENG111,3,A,Fall 2023
PSY101,4,A-,Fall 2023
LAW101,3,B,Fall 2023
MIS105,3,A,Spring 2024
ENG115,3,A,Spring 2024
LAW201,4,A-,Spring 2024
ENV107,4,A,Summer 2024
LAW211,4,A,Summer 2024
LAW107,4,C+,Summer 2024
BUS172,3,B,Fall 2024
HIS102,3,A,Fall 2024
LAW213,4,B+,Fall 2024
ECO101,3,A,Spring 2025
LAW301,4,A-,Spring 2025
LAW313,4,B,Spring 2025
PBH101,4,B+,Summer 2025
POL101,3,A,Summer 2025
LAW303,3,B,Summer 2025
LAW314,3,A-,Summer 2025
HIS103,3,A,Fall 2025
BEN205,3,A,Fall 2025
LAW305,4,B,Fall 2025
LAW306,3,A,Fall 2025
TEST101,3,,Fall 2025
